text,label
Remind me to buy groceries tomorrow at 5pm,reminder
Set a reminder for my sync meeting,reminder
I'm feeling really down and stressed out today,emotional-support
It's been a tough week, everything feels overwhelming,emotional-support
We need to finalize the quarterly slide presentation,action-item
Please send over the updated repository link,action-item
Hey there, how is your day going?,small-talk
Good morning! Lovely weather we are having,small-talk
The quantum convergence of the vector space matrix,unknown
Remind me to buy groceries tomorrow at 5pm variation-10,reminder
Set a reminder for my sync meeting variation-11,reminder
I'm feeling really down and stressed out today variation-12,emotional-support
It's been a tough week, everything feels overwhelming variation-13,emotional-support
We need to finalize the quarterly slide presentation variation-14,action-item
